DAGSETNING;HEFST;;ENDAR;NAMSGREIN;HEITI;HOPUR;STOFA;NAFN STOFU;BYGGING
15.05.2018;09:00;;12:00;BT LAM1023;Landmælingar og BIM, TVD - tæknifræði (3ja vikna);;V206;Kennslustofa;2. hæð Venus
04.04.2018;09:00;;12:00;F STÆ3B05;Stærðfræði, Stærðfræði 3. lota;;M208;Málstofa;Mars, önnur hæð
20.04.2018;14:15;;17:15;F STÆ3A07;Stærðfræði, Stærðfræði STÆ3A07 vor;;M118;Kennslustofa;Mars, fyrsta hæð
07.05.2018;13:00;;16:00;F ÍSL3A10;Íslenska, Íslenska 3. lota T;;M116;Kennslustofa;Mars, fyrsta hæð
07.05.2018;13:00;;15:00;F ÍSL3A10;Íslenska, Íslenska 3. lota X;;M325;Kennslustofa;Mars, þriðja hæð
07.05.2018;13:00;;15:00;F ÍSL3A10;Íslenska, Íslenska 3. lota Y;;M325;Kennslustofa;Mars, þriðja hæð
07.05.2018;13:00;;16:00;F ÍSL3A10;Íslenska, Íslenska 3. lota Z;;M118;Kennslustofa;Mars, fyrsta hæð
09.05.2018;09:00;;11:00;F ENS3B05;Enska, Enska 3. lota;;M325;Kennslustofa;Mars, þriðja hæð
11.05.2018;09:00;;12:00;F STÆ2B05;Stærðfræði, Stærðfræði 3. lota Y;;M119;Kennslustofa;Mars, fyrsta hæð
14.05.2018;09:00;;12:00;F STÆ3C05;Stærðfræði, Stærðfræði 3. lota;;M325;Kennslustofa;Mars, þriðja hæð
14.05.2018;09:00;;12:00;F STÆ4A10;Stærðfræði, Stærðfræði 3. lota;;M208;Málstofa;Mars, önnur hæð
16.05.2018;09:00;;12:00;F EFN2A05;Efnafræði, Efnafræði 3. lota;;M208;Málstofa;Mars, önnur hæð
16.05.2018;09:00;;12:00;F NAT2A10;Náttúrufræði, Náttúrufræði 3. lota;;M325;Kennslustofa;Mars, þriðja hæð
18.05.2018;09:00;;11:00;F DAN3A05;Danska, Danska 3. lota;;M325;Kennslustofa;Mars, þriðja hæð
18.05.2018;09:00;;12:00;F EÐL3A05;Eðlisfræði, Eðlisfræði 3. lota;;M208;Málstofa;Mars, önnur hæð
18.05.2018;09:00;;11:00;F FOR3B05;Forritun, Forritun 3. lota Y;;V206;Kennslustofa;2. hæð Venus
